model_name,failure_profile,start_time,end_time,failure_interval,failure_type,solution_method,is_fixable
*.Models.Model.Assembly3,FailureA,8:56:00.3331,9:12:02.0050,1:04.4022,1,5,0
*.Models.Model.Assembly3,FailureA,9:13:06.4072,9:51:19.4638,2:09:30.8702,1,3,0
*.Models.Model.Assembly1,FailureA,10:03:51.8516,10:25:35.8209,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,10:28:16.7044,10:54:18.0976,14:53.4160,2,3,0
*.Models.Model.Assembly4,FailureA,11:09:19.6492,11:34:52.1108,8:39.6404,2,2,0
*.Models.Model.Assembly4,FailureA,11:43:36.6326,12:29:44.4896,14:14.6077,1,2,0
*.Models.Model.Assembly4,FailureA,12:44:09.4371,13:02:26.4016,46:07.7704,2,4,0
*.Models.Model.Assembly3,FailureA,12:54:17.0954,13:18:52.0841,1:07:14.7619,2,4,0
*.Models.Model.Assembly4,FailureA,14:02:23.7368,14:29:50.2636,1:43:02.2432,1,1,0
*.Models.Model.Assembly3,FailureA,15:34:12.4407,16:12:46.1363,2:52:08.6778,2,3,0
*.Models.Model.Assembly1,FailureA,16:47:38.3234,17:27:24.7382,1:00:00.0000,1,6,1
*.Models.Model.Assembly1,FailureA,17:56:03.1370,18:25:36.5846,1:00:00.0000,1,3,0
*.Models.Model.Assembly4,FailureA,19:07:06.9058,19:22:53.0993,6:00.5422,2,5,0
*.Models.Model.Assembly1,FailureA,19:15:38.9394,20:02:23.8021,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,19:28:56.8957,20:41:34.9930,5:42.3708,2,5,0
*.Models.Model.Assembly1,FailureA,20:06:41.9915,21:01:12.1723,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,20:47:18.9909,21:28:21.0968,9:33.9722,1,6,1
*.Models.Model.Assembly1,FailureA,21:04:10.5503,22:40:49.4058,1:00:00.0000,1,3,0
*.Models.Model.Assembly4,FailureA,22:13:03.0036,23:01:12.7040,50:34.0008,1,3,0
*.Models.Model.Assembly1,FailureA,22:44:19.8147,23:34:57.7143,1:00:00.0000,2,2,0
*.Models.Model.Assembly1,FailureA,23:41:35.2517,1:00:01:34.2207,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,1:00:11:47.2716,1:00:39:14.2334,49.8088,1,3,0
*.Models.Model.Assembly3,FailureA,1:00:40:04.0423,1:01:51:39.6190,12:46.2393,1,5,0
*.Models.Model.Assembly1,FailureA,1:00:43:39.9537,1:02:21:11.9484,1:00:00.0000,1,2,0
*.Models.Model.Assembly3,FailureA,1:02:04:29.7434,1:02:55:03.6261,52:59.2496,2,2,0
*.Models.Model.Assembly4,FailureA,1:03:15:35.4636,1:03:55:54.3141,21:02.8504,1,1,0
*.Models.Model.Assembly1,FailureA,1:03:16:49.5880,1:04:36:40.3640,1:00:00.0000,1,5,0
*.Models.Model.Assembly3,FailureA,1:04:44:29.0636,1:05:24:06.3614,1:24:37.0590,1,4,0
*.Models.Model.Assembly4,FailureA,1:04:50:22.4545,1:05:53:53.6915,20:09.9259,2,1,0
*.Models.Model.Assembly1,FailureA,1:05:09:14.4732,1:07:03:04.3099,1:00:00.0000,2,1,0
*.Models.Model.Assembly4,FailureA,1:06:53:45.8417,1:07:26:07.2929,18:51.8684,1,3,0
*.Models.Model.Assembly1,FailureA,1:07:09:43.1677,1:07:53:08.1299,1:00:00.0000,1,2,0
*.Models.Model.Assembly1,FailureA,1:07:57:05.2357,1:08:37:13.6766,1:00:00.0000,1,3,0
*.Models.Model.Assembly4,FailureA,1:07:59:13.9727,1:09:04:13.3248,1:19.0164,1,5,0
*.Models.Model.Assembly4,FailureA,1:09:05:32.3412,1:09:27:51.7664,1:55:29.4391,2,1,0
*.Models.Model.Assembly1,FailureA,1:09:20:04.3744,1:10:31:07.3004,1:00:00.0000,1,3,0
*.Models.Model.Assembly3,FailureA,1:10:40:39.3237,1:11:28:13.4952,22:57.5059,1,3,0
*.Models.Model.Assembly3,FailureA,1:11:51:17.5095,1:12:16:34.8519,1:04:01.2132,1,4,0
*.Models.Model.Assembly1,FailureA,1:12:38:22.2235,1:13:14:12.9228,1:00:00.0000,1,4,0
*.Models.Model.Assembly4,FailureA,1:13:03:34.4085,1:13:30:59.9833,1:34.2532,1,6,1
*.Models.Model.Assembly3,FailureA,1:13:27:58.7618,1:13:57:30.2210,49:24.2263,1,2,0
*.Models.Model.Assembly1,FailureA,1:13:25:19.7592,1:14:31:41.5037,1:00:00.0000,1,5,0
*.Models.Model.Assembly4,FailureA,1:13:32:39.0065,1:15:10:16.0198,48:00.4943,1,2,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,2,1,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,1,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,2,3,0
*.Models.Model.Assembly3,FailureA,3:20:27.7225,5:06:11.5753,1:06:25.4133,2,5,0
*.Models.Model.Assembly4,FailureA,4:31:03.5562,5:30:47.4888,29:04.0697,1,6,1
*.Models.Model.Assembly1,FailureA,5:31:16.0644,5:58:59.8363,1:00:00.0000,1,1,0
*.Models.Model.Assembly4,FailureA,6:00:21.3625,6:22:16.6670,1:16:35.4356,1,3,0
*.Models.Model.Assembly1,FailureA,6:01:43.8314,6:58:55.3591,1:00:00.0000,2,1,0
*.Models.Model.Assembly3,FailureA,7:28:16.9950,8:16:22.8130,36:01.4968,1,5,0
*.Models.Model.Assembly3,FailureA,8:52:37.3452,9:08:39.0171,1:04.4022,1,2,0
*.Models.Model.Assembly3,FailureA,9:09:45.0465,9:47:58.1031,2:09:30.8702,1,6,1
*.Models.Model.Assembly1,FailureA,10:07:11.3045,10:28:55.2738,1:00:00.0000,1,6,1
*.Models.Model.Assembly4,FailureA,10:40:56.7310,11:06:58.1241,14:53.4160,2,4,0
*.Models.Model.Assembly4,,11:21:59.6758,0.0000,14:53.4160,1,4,0
*.Models.Model.Assembly1,FailureA,5:41.3585,24:53.5543,1:00:00.0000,1,2,0
*.Models.Model.Assembly4,FailureA,43:27.6145,1:27:14.2085,59:02.3360,1,4,0
*.Models.Model.Assembly3,FailureA,2:45:15.2055,3:12:01.6853,8:21.1558,2,2,0
*.Models.Model.Assembly4,FailureA,2:55:08.5611,3:44:44.0945,8:06.9793,1,6,1
*.Models.Model.Assembly3,FailureA,3:20:27.7225,5:06:11.5753,1:06:25.4133,1,3,0
*.Models.Model.Assembly4,FailureA,4:31:03.5562,5:30:47.4888,29:04.0697,1,5,0
